79.0,40.2,30019732.0,0
103.0,40.4,30004042.0,0
149.0,40.7,30044192.0,0
208.0,40.7,29985676.0,0
283.0,40.8,30049776.0,0
392.0,41.0,29988340.0,0
497.0,41.0,29963578.0,0
636.0,41.4,29981608.0,0
853.0,41.8,30066174.0,0
1172.0,41.8,29966088.0,0
1518.0,41.6,30004706.0,0
2005.0,41.5,29945628.0,0
2664.0,41.7,29992800.0,0
3522.0,41.8,29989650.0,0
4659.0,42.0,30048218.0,0
6199.0,42.1,29982540.0,0
8242.0,42.5,29993604.0,0
10907.0,43.2,29981402.0,0
14482.0,43.3,29954280.0,0
19176.0,43.0,30033816.0,0
25464.0,43.9,30013578.0,0
33751.0,43.8,30000546.0,0
44786.0,44.4,30003344.0,0
59360.0,44.9,29999742.0,0
78746.0,47.0,29996580.0,0
104375.0,50.4,30020772.0,0
138437.0,55.2,29957572.0,0
183554.0,56.7,29953236.0,0
243446.0,57.0,30021514.0,0
322826.0,55.3,30025826.0,0
428125.0,54.5,30090292.0,0
553888.0,53.0,30041632.0,0
727985.0,54.5,29966100.0,0
969207.0,55.6,30019938.0,0
1314786.0,58.0,30002892.0,0
1729120.0,63.4,29980320.0,0
2317033.0,56.5,30026912.0,0
3077498.0,61.5,29957504.0,0
4079507.0,62.0,30046942.0,0
5427338.0,55.9,30009822.0,0
7189426.0,62.3,29933380.0,0
